Title,COTS Type,Status,Created,Last Updated,Date Certified,Certification Expiration,Days to Certify,Urgency,Testing Entity,Functionality,URL to EPL
HTS Archive Export Tool v1.x,Desktop Application,(8) Completed,7/10/2025,8/17/2026,6/11/2026,6/11/2029,335,3 - Normal,Sponsor,"The Archive Export Tool takes an HTS Threat Planner Data Archive file (.has) and converts it to multiple
past versions (database formats). The HTS squadrons may not all be using the same version of the HTS
Threat Planner at the time of any particular mission data release. The Archive Export Tool allows us to
create all the HTS database formats required by the operational squadrons.",https://usaf.dps.mil/teams/EAO/_layouts/15/listform.aspx?PageType=4&ListId=%7B9C151A07%2D4BC4%2D4D70%2DB7FE%2D4D48FE9EF379%7D&ContentTypeID=0x010059C54D8C98C8EA4D960B2CD33D065B18&ID=6698
Bilateral Enterprise Analysis Model (BEAM) v5.x,Desktop Application,(.23) SA Testing,5/19/2026,8/17/2026,,,,3 - Normal,HQ CCC,BEAM is a rapid campaign analysis simulation tool. It provides a capability to rapidly explore changes in force structure and strategy at a campaign level.,https://usaf.dps.mil/teams/EAO/_layouts/15/listform.aspx?PageType=4&ListId=%7B9C151A07%2D4BC4%2D4D70%2DB7FE%2D4D48FE9EF379%7D&ContentTypeID=0x010059C54D8C98C8EA4D960B2CD33D065B18&ID=6877
SAS Institute JMP Pro v19.x,Desktop Application,(.23) SA Testing,6/2/2026,8/17/2026,,,,3 - Normal,HQ CCC,JMP Pro can be integrated with programming languages like R and Python, enhancing its capabilities and allowing users to access features not available within JMP itself.,https://usaf.dps.mil/teams/EAO/_layouts/15/listform.aspx?PageType=4&ListId=%7B9C151A07%2D4BC4%2D4D70%2DB7FE%2D4D48FE9EF379%7D&ContentTypeID=0x010059C54D8C98C8EA4D960B2CD33D065B18&ID=6889
Enthought Deployment Manager (EDM) v4.x,Desktop Application,(.2) SA Assigned,5/29/2026,8/17/2026,,,,3 - Normal,Sponsor,Enthought Deployment Manager (EDM) is a command-line tool used to create, manage, and deploy self-contained Python environments tailored for scientific computing, data analysis, and AI/ML. EDM allows users to create isolated virtual environments for different projects,https://usaf.dps.mil/teams/EAO/_layouts/15/listform.aspx?PageType=4&ListId=%7B9C151A07%2D4BC4%2D4D70%2DB7FE%2D4D48FE9EF379%7D&ContentTypeID=0x010059C54D8C98C8EA4D960B2CD33D065B18&ID=6884
Mobatek MobaXterm Professional Edition v25.x,Desktop Application,(.2) SA Assigned,5/4/2026,8/17/2026,,,,3 - Normal,Sponsor,To perform the legacy systems support various tools are needed for database connectivity, file transfers, file verification/manipulation, and password management. MobaXterm provides this functionality with UNIX commands, Text Editor, SSH, SFTP, and Putty.,https://usaf.dps.mil/teams/EAO/_layouts/15/listform.aspx?PageType=4&ListId=%7B9C151A07%2D4BC4%2D4D70%2DB7FE%2D4D48FE9EF379%7D&ContentTypeID=0x010059C54D8C98C8EA4D960B2CD33D065B18&ID=6861
ABB RobotStudio v2025.5,Desktop Application,(.2) SA Assigned,5/4/2026,8/17/2026,,,,2 - High,Sponsor,Used to create robot arm programs for the processing of aircraft parts. Used to program our robots, which do not speak to non ABB software at the programming level.,https://usaf.dps.mil/teams/EAO/_layouts/15/listform.aspx?PageType=4&ListId=%7B9C151A07%2D4BC4%2D4D70%2DB7FE%2D4D48FE9EF379%7D&ContentTypeID=0x010059C54D8C98C8EA4D960B2CD33D065B18&ID=6860
BlueBeam Revu Complete v21.x,Desktop Application,(.2) SA Assigned,3/20/2026,8/17/2026,,,,2 - High,Sponsor,"Bluebeam Revu is a technology used for portable document format (PDF) file creation, markup, editing, and collaboration with special features for architects and engineers. 

Bluebeam is requested by Civil Engineering Project Managers in 75 CEG.  This collaborative engineering tool is being used to provide deliverables for 75 CEG-managed projects. BlueBeam is a perfect hybrid of CAD & Adobe and will help us with document management (combining files & building portfolios) and drawings review (simplified mark-up tools and customizable symbols for the engineering & construction industry).",https://usaf.dps.mil/teams/EAO/_layouts/15/listform.aspx?PageType=4&ListId=%7B9C151A07%2D4BC4%2D4D70%2DB7FE%2D4D48FE9EF379%7D&ContentTypeID=0x010059C54D8C98C8EA4D960B2CD33D065B18&ID=6826
MATLAB vr2026b,Desktop Application,(.2) SA Assigned,3/20/2026,8/17/2026,,,,2 - High,Sponsor,"MATLAB is a proprietary multi-paradigm programming language and numeric computing environment
developed by MathWorks. MATLAB allows matrix manipulations, plotting of functions and data,
implementation of algorithms, creation of user interfaces, and interfacing with programs written in
other languages.",https://usaf.dps.mil/teams/EAO/_layouts/15/listform.aspx?PageType=4&ListId=%7B9C151A07%2D4BC4%2D4D70%2DB7FE%2D4D48FE9EF379%7D&ContentTypeID=0x010059C54D8C98C8EA4D960B2CD33D065B18&ID=6825
Snagit v2026.x,Desktop Application,(.2) SA Assigned,3/19/2026,8/17/2026,,,,2 - High,Sponsor,Application is used to screen record/capture and edit pictures and videos for training purposes.,https://usaf.dps.mil/teams/EAO/_layouts/15/listform.aspx?PageType=4&ListId=%7B9C151A07%2D4BC4%2D4D70%2DB7FE%2D4D48FE9EF379%7D&ContentTypeID=0x010059C54D8C98C8EA4D960B2CD33D065B18&ID=6823
Figma v124.X,Desktop Application,(9) VOID,10/21/2024,8/17/2026,,,,1 - Hot,Sponsor,Figma is used to build high fidelity test designs for websites and used by designers, product managers, writers and developers and helps anyone involved in the design process contribute, give feedback, and make better decisions.,https://usaf.dps.mil/teams/EAO/_layouts/15/listform.aspx?PageType=4&ListId=%7B9C151A07%2D4BC4%2D4D70%2DB7FE%2D4D48FE9EF379%7D&ContentTypeID=0x010059C54D8C98C8EA4D960B2CD33D065B18&ID=6508
